Country,Year,#Gold,#Total Medals,Host,#Participants,#Events,Medal Efficiency,Gold Medal Focus
United States,2016,46,121,0,699,240,0.17310443490701002,0.38016528925619836
United States,2020,39,113,0,856,245,0.13200934579439252,0.34513274336283184
United States,2024,40,126,0,854,234,0.14754098360655737,0.31746031746031744
Great Britain,2016,27,67,0,470,196,0.1425531914893617,0.40298507462686567
Great Britain,2020,22,64,0,548,197,0.11678832116788321,0.34375
Great Britain,2024,14,65,0,533,174,0.12195121951219512,0.2153846153846154
China,2016,26,70,0,483,205,0.14492753623188406,0.37142857142857144
China,2020,38,89,0,574,210,0.15505226480836237,0.42696629213483145
China,2024,40,91,0,587,211,0.15502555366269166,0.43956043956043955
Russia,2016,19,56,0,398,179,0.1407035175879397,0.3392857142857143
Russia,2020,0,0,0,561,202,0.0,0.0
Russia,2024,0,0,0,0,0,0.0,0.0
Germany,2016,17,42,0,528,215,0.07954545454545454,0.40476190476190477
Germany,2020,10,37,0,597,206,0.06197654941373534,0.2702702702702703
Germany,2024,12,33,0,647,196,0.05100463678516229,0.36363636363636365
Japan,2016,12,41,0,436,186,0.09403669724770643,0.2926829268292683
Japan,2020,27,58,1,787,222,0.07369758576874205,0.46551724137931033
Japan,2024,20,45,0,598,166,0.07525083612040134,0.4444444444444444
France,2016,10,42,0,504,200,0.08333333333333333,0.23809523809523808
France,2020,10,33,0,538,194,0.06133828996282528,0.30303030303030304
France,2024,16,64,1,801,223,0.07990012484394507,0.25
South Korea,2016,9,21,0,255,115,0.08235294117647059,0.42857142857142855
South Korea,2020,6,20,0,338,120,0.05917159763313609,0.3
South Korea,2024,13,32,0,0,0,0.0,0.40625
Italy,2016,8,28,0,395,170,0.07088607594936709,0.2857142857142857
Italy,2020,10,40,0,524,198,0.07633587786259542,0.25
Italy,2024,12,40,0,610,205,0.06557377049180328,0.3
Australia,2016,8,29,0,510,192,0.056862745098039215,0.27586206896551724
Australia,2020,17,46,0,638,193,0.07210031347962383,0.3695652173913043
Australia,2024,18,53,0,649,205,0.08166409861325115,0.33962264150943394
Netherlands,2016,8,19,0,321,120,0.059190031152647975,0.42105263157894735
Netherlands,2020,10,36,0,391,123,0.09207161125319693,0.2777777777777778
Netherlands,2024,15,34,0,449,132,0.0757238307349666,0.4411764705882353
Hungary,2016,8,15,0,204,113,0.07352941176470588,0.5333333333333333
Hungary,2020,6,20,0,237,110,0.08438818565400844,0.3
Hungary,2024,6,19,0,255,114,0.07450980392156863,0.3157894736842105
Brazil,2016,7,19,1,571,219,0.03327495621716287,0.3684210526315789
Brazil,2020,7,21,0,416,142,0.05048076923076923,0.3333333333333333
Brazil,2024,3,20,0,401,146,0.04987531172069826,0.15
Spain,2016,7,17,0,353,143,0.04815864022662889,0.4117647058823529
Spain,2020,3,17,0,429,146,0.039627039627039624,0.17647058823529413
Spain,2024,5,18,0,526,150,0.034220532319391636,0.2777777777777778
Kenya,2016,6,13,0,80,29,0.1625,0.46153846153846156
Kenya,2020,4,10,0,89,26,0.11235955056179775,0.4
Kenya,2024,4,11,0,77,24,0.14285714285714285,0.36363636363636365
Jamaica,2016,6,11,0,77,32,0.14285714285714285,0.5454545454545454
Jamaica,2020,4,9,0,87,32,0.10344827586206896,0.4444444444444444
Jamaica,2024,1,6,0,81,31,0.07407407407407407,0.16666666666666666
Croatia,2016,5,10,0,93,47,0.10752688172043011,0.5
Croatia,2020,3,8,0,74,47,0.10810810810810811,0.375
Croatia,2024,2,7,0,85,43,0.08235294117647059,0.2857142857142857
Cuba,2016,5,11,0,143,99,0.07692307692307693,0.45454545454545453
Cuba,2020,7,15,0,82,64,0.18292682926829268,0.4666666666666667
Cuba,2024,2,9,0,69,52,0.13043478260869565,0.2222222222222222
New Zealand,2016,4,18,0,232,100,0.07758620689655173,0.2222222222222222
New Zealand,2020,7,20,0,279,90,0.07168458781362007,0.35
New Zealand,2024,10,20,0,253,100,0.07905138339920949,0.5
Canada,2016,4,22,0,397,173,0.055415617128463476,0.18181818181818182
Canada,2020,7,24,0,509,182,0.047151277013752456,0.2916666666666667
Canada,2024,9,27,0,538,172,0.05018587360594796,0.3333333333333333
Uzbekistan,2016,4,13,0,80,69,0.1625,0.3076923076923077
Uzbekistan,2020,3,5,0,85,69,0.058823529411764705,0.6
Uzbekistan,2024,8,13,0,119,68,0.1092436974789916,0.6153846153846154
Colombia,2016,3,8,0,157,85,0.050955414012738856,0.375
Colombia,2020,0,5,0,77,56,0.06493506493506493,0.0
Colombia,2024,0,4,0,105,61,0.0380952380952381,0.0
Switzerland,2016,3,7,0,148,79,0.0472972972972973,0.42857142857142855
Switzerland,2020,3,13,0,196,96,0.0663265306122449,0.23076923076923078
Switzerland,2024,1,8,0,218,94,0.03669724770642202,0.125
Iran,2016,3,8,0,67,46,0.11940298507462686,0.375
Iran,2020,3,7,0,76,44,0.09210526315789473,0.42857142857142855
Iran,2024,3,12,0,0,0,0.0,0.25
Greece,2016,3,6,0,104,65,0.057692307692307696,0.5
Greece,2020,2,4,0,100,58,0.04,0.5
Greece,2024,1,8,0,126,54,0.06349206349206349,0.125
Argentina,2016,3,4,0,228,79,0.017543859649122806,0.75
Argentina,2020,0,3,0,208,61,0.014423076923076924,0.0
Argentina,2024,1,3,0,154,41,0.01948051948051948,0.3333333333333333
Denmark,2016,2,15,0,143,67,0.1048951048951049,0.13333333333333333
Denmark,2020,3,11,0,138,63,0.07971014492753623,0.2727272727272727
Denmark,2024,2,9,0,161,60,0.055900621118012424,0.2222222222222222
Sweden,2016,2,11,0,186,79,0.05913978494623656,0.18181818181818182
Sweden,2020,3,9,0,173,77,0.05202312138728324,0.3333333333333333
Sweden,2024,4,11,0,173,81,0.06358381502890173,0.36363636363636365
South Africa,2016,2,10,0,155,70,0.06451612903225806,0.2
South Africa,2020,1,3,0,211,73,0.014218009478672985,0.3333333333333333
South Africa,2024,1,6,0,161,66,0.037267080745341616,0.16666666666666666
Kazakhstan,2016,2,17,0,123,98,0.13821138211382114,0.11764705882352941
Kazakhstan,2020,0,8,0,116,82,0.06896551724137931,0.0
Kazakhstan,2024,1,7,0,123,82,0.056910569105691054,0.14285714285714285
